Partido;Local;Equipo;Conferencia;Nivel;ConfRival;NivelRival;Puntos;Ptsencontra;Ganador;T2A;T2I;T3A;T3I;TLA;TLI;Reb;RebO;RebD;Asist;Robos;Tapones;Perdidas;Ptsperdida;Ptscontrataque;Ptszona;Faltas;Tecnicas;Intecionales;T2AR;T2IR;T3AR;T3IR;TLAR;TLIR;RebR;RebOR;RebDR;AsistR;RobosR;TaponesR;PerdidasR;PtsperdidaR;PtscontrataqueR;PtszonaR;FaltasR;TecnicasR;IntencionalesR
400974787;Vis;Thunder;1;1;1;1;87;96;V;32;78;11;33;12;19;50;8;30;15;14;4;17;16;8;20;16;5;0;38;77;9;29;11;14;45;7;34;22;11;4;19;24;7;40;21;0;0
400974787;L;Jazz;1;1;1;1;96;87;D;38;77;9;29;11;14;45;7;34;22;11;4;19;24;7;40;21;0;0;32;78;11;33;12;19;50;8;30;15;14;4;17;16;8;20;16;5;0
400974788;Vis;Suns;1;0;1;1;88;130;V;27;71;6;24;28;38;45;4;32;19;8;3;20;32;5;36;27;1;0;48;88;12;26;22;30;57;10;42;26;12;2;12;9;19;66;32;0;0
400974788;L;Clippers;1;1;1;0;130;88;D;48;88;12;26;22;30;57;10;42;26;12;2;12;9;19;66;32;0;0;27;71;6;24;28;38;45;4;32;19;8;3;20;32;5;36;27;1;0
400974789;Vis;Hawks;0;0;0;0;104;116;D;32;94;7;27;33;36;58;16;32;21;6;2;16;25;7;36;25;0;0;41;87;11;27;23;34;64;13;38;27;12;8;18;17;22;46;27;1;0
400974789;L;Nets;0;0;0;0;116;104;V;41;87;11;27;23;34;64;13;38;27;12;8;18;17;22;46;27;1;0;32;94;7;27;33;36;58;16;32;21;6;2;16;25;7;36;25;0;0
400974790;Vis;Timberwolves;1;2;1;1;115;113;V;43;86;10;25;19;23;58;10;35;25;5;1;18;23;6;52;17;0;0;46;96;11;31;10;16;45;9;27;26;9;6;11;13;20;60;22;0;0
400974790;L;Thunder;1;1;1;2;113;115;D;46;96;11;31;10;16;45;9;27;26;9;6;11;13;20;60;22;0;0;43;86;10;25;19;23;58;10;35;25;5;1;18;23;6;52;17;0;0
400974791;Vis;Pelicans;1;1;1;0;119;112;V;47;83;10;32;15;21;50;6;36;26;14;5;18;20;18;68;20;0;0;44;90;9;27;15;20;43;9;29;27;7;6;17;24;20;60;24;0;0
400974791;L;Lakers;1;0;1;1;112;119;D;44;90;9;27;15;20;43;9;29;27;7;6;17;24;20;60;24;0;0;47;83;10;32;15;21;50;6;36;26;14;5;18;20;18;68;20;0;0
